team,player,pos,age,years_remaining,terms,acquired,status,cap%,free_agency_type,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,player_id,full,yrs_2324,yrs_2425,yrs_2526,yrs_2627,yrs_2728,yrs_2829
BUF,Rasmus Dahlin,LD/RD,23.0,9,,Draft,NHL,0.07200000000000001,UFA,6000000,11000000,11000000,11000000,11000000,11000000,8480839.0,Buffalo Sabres,9,8,7,6,5,4
BUF,John-Jason Peterka,"LW, RW",21.0,2,ELC,Draft,NHL,0.01,RFA,855833,855833,0,0,0,0,8482175.0,Buffalo Sabres,2,1,0,-1,-2,-3
BUF,Jack Quinn,"RW, LW",22.0,2,ELC,Draft,IR,0.01,RFA,863333,863333,0,0,0,0,8482097.0,Buffalo Sabres,2,1,0,-1,-2,-3
BUF,Ukko-Pekka Luukkonen,G,24.0,1,,Draft,NHL,0.01,RFA,837500,0,0,0,0,0,8480045.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Eric Comrie,G,28.0,1,,Signed,NHL,0.022000000000000002,UFA,1800000,0,0,0,0,0,8477480.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Owen Power,LD/RD,20.0,1,ELC,Draft,NHL,0.011000000000000001,10.2(c),916667,0,0,0,0,0,8482671.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Devon Levi,G,21.0,2,ELC,Trade,NHL,0.011000000000000001,10.2(c),925000,925000,0,0,0,0,8482221.0,Buffalo Sabres,2,1,0,-1,-2,-3
BUF,Jacob Bryson,LD/RD,25.0,1,,Draft,NHL,0.022000000000000002,RFA,1850000,0,0,0,0,0,8480196.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Henri Jokiharju,RD,24.0,1,,Trade,NHL,0.03,RFA,2500000,0,0,0,0,0,8480035.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Erik Johnson,RD,35.0,1,35+,Signed,NHL,0.039,UFA,3250000,0,0,0,0,0,8473446.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Connor Clifton,RD,28.0,3,,Signed,NHL,0.04,UFA,3333333,3333333,3333333,0,0,0,8477365.0,Buffalo Sabres,3,2,1,0,-1,-2
BUF,Mattias Samuelsson,LD,23.0,7,,Draft,NHL,0.051,UFA,4285714,4285714,4285714,4285714,4285714,4285714,8480807.0,Buffalo Sabres,7,6,5,4,3,2
CAR,Anthony Deangelo,RD,27.0,1,,Signed,NHL,0.02,UFA,1675000,0,0,0,0,0,8477950.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Brett Pesce,RD,28.0,1,M-NTC,Draft,NHL,0.048,UFA,4025000,0,0,0,0,0,8477488.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Brady Skjei,LD,29.0,1,M-NTC,Trade,NHL,0.063,UFA,5250000,0,0,0,0,0,8476869.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Brent Burns,RD,38.0,2,RSM-NTC,Trade,NHL,0.063,UFA,5280000,5280000,0,0,0,0,8470613.0,Carolina Hurricanes,2,1,0,-1,-2,-3
CAR,Sebastian Aho,C,26.0,9,,Signed,NHL,0.10099999999999999,UFA,8460250,9750000,9750000,9750000,9750000,9750000,8478427.0,Carolina Hurricanes,9,8,7,6,5,4
CAR,Teuvo Teravainen,"LW, RW",29.0,1,M-NTC,Trade,NHL,0.065,UFA,5400000,0,0,0,0,0,8476882.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Jalen Chatfield,RD,27.0,1,,Signed,NHL,0.009000000000000001,UFA,762500,0,0,0,0,0,8478970.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Jesperi Kotkaniemi,C,23.0,7,,Signed,NHL,0.057999999999999996,UFA,4820000,4820000,4820000,4820000,4820000,4820000,8480829.0,Carolina Hurricanes,7,6,5,4,3,2
CAR,Jack Drury,C,23.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,925000,0,0,0,0,0,8480835.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Martin Necas,"RW, C",24.0,1,,Draft,NHL,0.036000000000000004,RFA,3000000,0,0,0,0,0,8480039.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Jordan Staal,"C, LW",35.0,4,NMC,Trade,NHL,0.035,UFA,2900000,2900000,2900000,2900000,0,0,8473533.0,Carolina Hurricanes,4,3,2,1,0,-1
CAR,Jesper Fast,RW,31.0,2,NTC,Signed,NHL,0.028999999999999998,UFA,2400000,2400000,0,0,0,0,8475855.0,Carolina Hurricanes,2,1,0,-1,-2,-3
CAR,Jordan Martinook,"LW, RW",31.0,1,,Signed,NHL,0.022000000000000002,UFA,1800000,0,0,0,0,0,8476921.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Seth Jarvis,RW,21.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,894167,0,0,0,0,0,8482093.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Brendan Lemieux,"LW, RW",27.0,1,,Signed,NHL,0.01,UFA,800000,0,0,0,0,0,8477962.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Frederik Andersen,G,34.0,2,M-NTC,Signed,NHL,0.040999999999999995,UFA,3400000,3400000,0,0,0,0,8475883.0,Carolina Hurricanes,2,1,0,-1,-2,-3
CAR,Stefan Noesen,"LW, RW",30.0,1,,Signed,NHL,0.009000000000000001,UFA,762500,0,0,0,0,0,8476474.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Michael Bunting,LW,28.0,3,M-NTC,Signed,NHL,0.054000000000000006,UFA,4500000,4500000,4500000,0,0,0,8478047.0,Carolina Hurricanes,3,2,1,0,-1,-2
CAR,Antti Raanta,G,34.0,1,,Signed,NHL,0.018000000000000002,UFA,1500000,0,0,0,0,0,8477293.0,Carolina Hurricanes,1,0,-1,-2,-3,-4
CAR,Andrei Svechnikov,"LW, RW",23.0,6,,Draft,IR,0.09300000000000001,UFA,7750000,7750000,7750000,7750000,7750000,7750000,8480830.0,Carolina Hurricanes,6,5,4,3,2,1
CAR,Dmitry Orlov,LD,32.0,2,,Signed,NHL,0.09300000000000001,UFA,7750000,7750000,0,0,0,0,8475200.0,Carolina Hurricanes,2,1,0,-1,-2,-3
CAR,Jaccob Slavin,LD,29.0,2,M-NTC,Draft,NHL,0.063,UFA,5300000,5300000,0,0,0,0,8476958.0,Carolina Hurricanes,2,1,0,-1,-2,-3
CBJ,Kent Johnson,"LW, C",20.0,1,ELC,Draft,NHL,0.011000000000000001,10.2(c),925000,0,0,0,0,0,8482660.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Kirill Marchenko,RW,23.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,925000,0,0,0,0,0,8480893.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Johnny Gaudreau,LW,30.0,6,NMC,Signed,NHL,0.11699999999999999,UFA,9750000,9750000,9750000,9750000,9750000,9750000,8476346.0,Columbus Blue Jackets,6,5,4,3,2,1
CBJ,Patrik Laine,"RW, LW",25.0,3,M-NTC,Trade,NHL,0.10400000000000001,UFA,8700000,8700000,8700000,0,0,0,8479339.0,Columbus Blue Jackets,3,2,1,0,-1,-2
CBJ,Boone Jenner,"C, LW",30.0,3,M-NTC,Draft,NHL,0.045,UFA,3750000,3750000,3750000,0,0,0,8476432.0,Columbus Blue Jackets,3,2,1,0,-1,-2
CBJ,Sean Kuraly,"C, LW",30.0,2,M-NTC,Signed,NHL,0.03,UFA,2500000,2500000,0,0,0,0,8476374.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CBJ,Eric Robinson,LW,28.0,1,,Signed,NHL,0.019,UFA,1600000,0,0,0,0,0,8480762.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Alexandre Texier,"LW, C, RW",24.0,1,,Draft,NHL,0.018000000000000002,RFA,1525000,0,0,0,0,0,8480074.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Justin Danforth,"RW, C",30.0,2,,Signed,NHL,0.012,UFA,975000,1100000,0,0,0,0,8479941.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CBJ,Adam Fantilli,C,18.0,3,ELC,Draft,NHL,0.011000000000000001,RFA,950000,950000,950000,0,0,0,,Columbus Blue Jackets,3,2,1,0,-1,-2
CBJ,Jack Roslovic,"C, RW",26.0,1,,Trade,NHL,0.048,UFA,4000000,0,0,0,0,0,8478458.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Cole Sillinger,C,20.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,925000,0,0,0,0,0,8482705.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
