lineId,name,team,position,situation,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,goalsFor,goalsAgainst,player_id
847517084800238482737,Schenn-Thomas-Bolduc,STL,line,5on5,7,3962.0,0.41,0.37,0.41,6.0,2.0,8482737
847646184784398480015,Tippett-Couturier-Konecny,PHI,line,5on5,30,6477.0,0.54,0.61,0.62,7.0,6.0,8480015
847634684794238479941,Gaudreau-Danforth-Nylander,CBJ,line,5on5,2,727.0,0.77,0.73,0.75,3.0,0.0,8479941
847795684784018478498,Debrusk-Zacha-Pastrnak,BOS,line,5on5,33,7627.0,0.54,0.5,0.51,6.0,4.0,8478498
847805184794148480032,Willman-Bowers-Bastian,NJD,line,5on5,3,951.0,0.43,0.52,0.46,1.0,0.0,8480032
847740684774548478585,Erne-Ryan-Janmark,EDM,line,5on5,8,1507.0,0.47,0.47,0.39,0.0,0.0,8478585
847121584751918479344,Smith-Malkin-Puljujarvi,PIT,line,5on5,5,1296.0,0.63,0.68,0.63,1.0,0.0,8479344
847795284784668478512,Fabbri-Czarnik-Sprong,DET,line,5on5,10,1616.0,0.31,0.41,0.38,1.0,2.0,8478512
847842484785698482055,O'Connor-Acciari-Harkins,PIT,line,5on5,14,981.0,0.54,0.56,0.57,0.0,0.0,8482055
847637484796718479941,Olivier-Kuraly-Danforth,CBJ,line,5on5,17,7668.0,0.53,0.49,0.52,6.0,6.0,8479941
847745684779528479337,Fabbri-Compher-Debrincat,DET,line,5on5,12,1953.0,0.29,0.39,0.38,0.0,1.0,8479337
847646084801138482149,Iafallo-Scheifele-Perfetti,WPG,line,5on5,11,934.0,0.36,0.41,0.37,0.0,0.0,8482149
847688784817048482146,Forsberg-Parssinen-Evangelista,NSH,line,5on5,12,667.0,0.68,0.63,0.57,1.0,0.0,8482146
847518484763898476459,Kreider-Trocheck-Zibanejad,NYR,line,5on5,29,793.0,0.42,0.26,0.37,0.0,0.0,8476459
847467984751588478508,Trenin-O'Reilly-Nyquist,NSH,line,5on5,33,1210.0,0.73,0.62,0.64,0.0,1.0,8478508
847646084783988480113,Iafallo-Scheifele-Connor,WPG,line,5on5,36,17996.0,0.44,0.45,0.46,13.0,11.0,8480113
847698184779898481618,Newhook-Dvorak-Anderson,MTL,line,5on5,3,1277.0,0.26,0.33,0.35,1.0,1.0,8481618
847741684800098482665,Tolvanen-Beniers-Bjorkstrand,SEA,line,5on5,23,3672.0,0.46,0.38,0.38,5.0,0.0,8482665
847471584800288480797,Farabee-Frost-Atkinson,PHI,line,5on5,26,5504.0,0.51,0.49,0.47,3.0,5.0,8480797
847805784788568480012,Joshua-Pettersson-Garland,VAN,line,5on5,18,722.0,0.28,0.56,0.53,0.0,0.0,8480012
847733084800648480208,Kubalik-Norris-Batherson,OTT,line,5on5,8,1455.0,0.44,0.44,0.47,1.0,3.0,8480208
847682284797188482070,Barr-Boulet-Glendening-Chaffee,TBL,line,5on5,4,1269.0,0.5,0.4,0.48,0.0,1.0,8482070
847757384781048482784,Walker-Dean-Blais,STL,line,5on5,4,1306.0,0.15,0.33,0.31,0.0,0.0,8482784
847747384793168482667,Eklund-Kunin-Bailey,SJS,line,5on5,13,2503.0,0.44,0.51,0.45,0.0,3.0,8482667
847514984779198482177,Johansson-Khusnutdinov-Gaudreau,MIN,line,5on5,8,2062.0,0.39,0.42,0.41,1.0,1.0,8482177
847850884795208479525,Trenin-Colton-Duhaime,COL,line,5on5,3,986.0,0.42,0.6,0.63,1.0,0.0,8479525
847576384768978480281,Sundqvist-Hayes-Toropchenko,STL,line,5on5,13,631.0,0.46,0.34,0.38,0.0,1.0,8480281
847794784784408479547,Milano-Strome-Phillips,WSH,line,5on5,9,2275.0,0.62,0.44,0.44,2.0,1.0,8479547
847749284775018478420,Nichushkin-Mackinnon-Rantanen,COL,line,5on5,43,22920.0,0.55,0.57,0.56,24.0,16.0,8478420
847682684799778480009,Tolvanen-Gourde-Yamamoto,SEA,line,5on5,16,817.0,0.68,0.54,0.59,0.0,1.0,8480009
847843884820628482146,Smith-Novak-Evangelista,NSH,line,5on5,28,3592.0,0.5,0.52,0.49,2.0,4.0,8482146
847471584764618480797,Farabee-Couturier-Atkinson,PHI,line,5on5,24,1560.0,0.37,0.38,0.42,2.0,3.0,8480797
847342284774508480798,Foligno-Dickinson-Kurashev,CHI,line,5on5,22,626.0,0.1,0.18,0.23,0.0,0.0,8480798
847845884800748482705,Texier-Sillinger-Roslovic,CBJ,line,5on5,7,1009.0,0.49,0.39,0.44,0.0,1.0,8482705
847584284775278481517,Johnston-Carrick-Leason,ANA,line,5on5,23,6936.0,0.37,0.44,0.46,4.0,5.0,8481517
847740684779348477998,Foegele-Draisaitl-Janmark,EDM,line,5on5,10,1550.0,0.54,0.55,0.53,0.0,3.0,8477998
847843284784668479992,Rasmussen-Fischer-Sprong,DET,line,5on5,13,1125.0,0.43,0.41,0.35,0.0,2.0,8479992
847688984793518480848,Steel-Dellandrea-Faksa,DAL,line,5on5,15,3247.0,0.49,0.6,0.55,1.0,4.0,8480848
847738084775058481554,Brodzinski-Wennberg-Kakko,NYR,line,5on5,6,2937.0,0.39,0.59,0.59,2.0,2.0,8481554
847516684779398478483,Marner-Tavares-Nylander,TOR,line,5on5,6,872.0,0.67,0.76,0.75,0.0,0.0,8478483
847747884784348479353,Carrier-Howden-Kolesar,VGK,line,5on5,28,4756.0,0.41,0.45,0.44,3.0,2.0,8479353
847356384775118481580,Mcmichael-Backstrom-Mantha,WSH,line,5on5,2,847.0,0.38,0.52,0.56,1.0,1.0,8481580
847752784808708481517,Johnston-Groulx-Leason,ANA,line,5on5,13,3006.0,0.37,0.35,0.35,0.0,0.0,8481517
847750384809958481582,Robertson-Holmberg-Domi,TOR,line,5on5,7,714.0,0.73,0.57,0.64,0.0,0.0,8481582
847740984793148482113,Tkachuk-Lundell-Verhaeghe,FLA,line,5on5,30,5253.0,0.43,0.52,0.48,5.0,4.0,8482113
847688084784408479359,Malenstyn-Strome-Wilson,WSH,line,5on5,16,647.0,0.69,0.42,0.44,0.0,1.0,8479359
847689784781048480281,Blais-Sundqvist-Toropchenko,STL,line,5on5,11,2317.0,0.39,0.38,0.37,1.0,1.0,8480281
847353384758558482093,Jarvis-Staal-Fast,CAR,line,5on5,6,901.0,0.79,0.75,0.81,1.0,0.0,8482093
847574484800398480830,Necas-Kuznetsov-Svechnikov,CAR,line,5on5,11,3538.0,0.34,0.49,0.43,1.0,4.0,8480830
847121584758108482055,O'Connor-Malkin-Rust,PIT,line,5on5,22,4281.0,0.5,0.47,0.44,4.0,2.0,8482055
848001284804598481535,Hoglander-Pettersson-Suter,VAN,line,5on5,11,4564.0,0.52,0.53,0.56,5.0,5.0,8481535
847851984795918482070,Eyssimont-Cirelli-Chaffee,TBL,line,5on5,10,2774.0,0.56,0.56,0.57,1.0,1.0,8482070
847579884774078478099,Duclair-Granlund-Labanc,SJS,line,5on5,4,1150.0,0.25,0.43,0.35,1.0,1.0,8478099
847576384779448478104,Vrana-Hayes-Blais,STL,line,5on5,11,2496.0,0.47,0.45,0.41,3.0,1.0,8478104
847733084803558480448,Kubalik-Kastelic-Kelly,OTT,line,5on5,16,4075.0,0.26,0.41,0.46,0.0,1.0,8480448
847745184799688481422,Lucchini-Hartman-Lettieri,MIN,line,5on5,4,832.0,0.46,0.58,0.56,0.0,1.0,8481422
847637484796718480074,Texier-Kuraly-Olivier,CBJ,line,5on5,19,4537.0,0.48,0.49,0.46,2.0,1.0,8480074
847843484784628480007,Rondbjerg-Roy-Kolesar,VGK,line,5on5,3,1204.0,0.17,0.48,0.21,1.0,0.0,8480007
847646084783988480014,Connor-Scheifele-Vilardi,WPG,line,5on5,20,11751.0,0.35,0.42,0.41,11.0,13.0,8480014
