label,value,team,situation,n_games
cum_dif_p60_perc,0.19,ARI,5on5,all
offense,235.7,ARI,5on5,all
defense,299.38,ARI,5on5,all
cum_dif,-63.68000000000001,ARI,5on5,all
Points,0.25,ARI,5on5,last 20 games
Goals For,0.16,ARI,5on5,last 20 games
Goal Differential,0.31,ARI,5on5,last 20 games
Shooting %,0.36,ARI,5on5,last 20 games
Save %,0.84,ARI,5on5,last 20 games
sv%,0.921,ARI,5on5,last 20 games
Blocked shot attempt %,0.33,ARI,5on5,last 20 games
Blocked shot attempt % against,0.11,ARI,5on5,last 20 games
Expected Goals For,0.41,ARI,5on5,last 20 games
XG Differential,0.17,ARI,5on5,last 20 games
Shot (FW) Volume,0.2,ARI,5on5,last 20 games
Shot (FW) Differential,0.12,ARI,5on5,last 20 games
Penalty Differential,0.03,ARI,5on5,last 20 games
offense_p60_perc,0.22,ARI,5on5,last 20 games
defense_p60_perc,0.47,ARI,5on5,last 20 games
cum_dif_p60_perc,0.22,ARI,5on5,last 20 games
offense,85.69,ARI,5on5,last 20 games
defense,101.27000000000001,ARI,5on5,last 20 games
cum_dif,-15.580000000000013,ARI,5on5,last 20 games
Points,0.55,ARI,5on5,last 10 games
Goals For,0.25,ARI,5on5,last 10 games
Goal Differential,0.34,ARI,5on5,last 10 games
Shooting %,0.47,ARI,5on5,last 10 games
Save %,0.62,ARI,5on5,last 10 games
sv%,0.918,ARI,5on5,last 10 games
Blocked shot attempt %,0.47,ARI,5on5,last 10 games
Blocked shot attempt % against,0.12,ARI,5on5,last 10 games
Expected Goals For,0.5,ARI,5on5,last 10 games
XG Differential,0.42,ARI,5on5,last 10 games
Shot (FW) Volume,0.23,ARI,5on5,last 10 games
Shot (FW) Differential,0.12,ARI,5on5,last 10 games
Penalty Differential,0.09,ARI,5on5,last 10 games
offense_p60_perc,0.31,ARI,5on5,last 10 games
defense_p60_perc,0.42,ARI,5on5,last 10 games
cum_dif_p60_perc,0.34,ARI,5on5,last 10 games
offense,45.019999999999996,ARI,5on5,last 10 games
defense,49.56,ARI,5on5,last 10 games
cum_dif,-4.540000000000006,ARI,5on5,last 10 games
Points,0.47,ARI,5on5,last 5 games
Goals For,0.16,ARI,5on5,last 5 games
Goal Differential,0.25,ARI,5on5,last 5 games
Shooting %,0.42,ARI,5on5,last 5 games
Save %,0.66,ARI,5on5,last 5 games
sv%,0.918,ARI,5on5,last 5 games
Blocked shot attempt %,0.19,ARI,5on5,last 5 games
Blocked shot attempt % against,0.23,ARI,5on5,last 5 games
Expected Goals For,0.17,ARI,5on5,last 5 games
XG Differential,0.16,ARI,5on5,last 5 games
Shot (FW) Volume,0.16,ARI,5on5,last 5 games
Shot (FW) Differential,0.12,ARI,5on5,last 5 games
Penalty Differential,0.06,ARI,5on5,last 5 games
offense_p60_perc,0.12,ARI,5on5,last 5 games
defense_p60_perc,0.44,ARI,5on5,last 5 games
cum_dif_p60_perc,0.25,ARI,5on5,last 5 games
offense,19.61,ARI,5on5,last 5 games
defense,26.21,ARI,5on5,last 5 games
cum_dif,-6.600000000000001,ARI,5on5,last 5 games
Points,0.16,ARI,4on5,all
Goals For,0.22,ARI,4on5,all
Goal Differential,0.19,ARI,4on5,all
Shooting %,0.47,ARI,4on5,all
Save %,0.39,ARI,4on5,all
sv%,0.855,ARI,4on5,all
Blocked shot attempt %,0.73,ARI,4on5,all
Blocked shot attempt % against,0.22,ARI,4on5,all
Expected Goals For,0.12,ARI,4on5,all
XG Differential,0.09,ARI,4on5,all
Shot (FW) Volume,0.06,ARI,4on5,all
Shot (FW) Differential,0.06,ARI,4on5,all
Penalty Differential,0.61,ARI,4on5,all
offense_p60_perc,0.12,ARI,4on5,all
defense_p60_perc,0.17,ARI,4on5,all
cum_dif_p60_perc,0.12,ARI,4on5,all
offense,8.6,ARI,4on5,all
defense,106.3,ARI,4on5,all
