team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
MIN,Alex Goligoski,scratch,D,33.0,L,46.0,17.666666666666664,4.0,2.0,2.0,2.0,2.34534012,75.0,0.4838405355767098,7.345340119999999,67.91311471,-85.04362349,37,NHL,2,UFA,2000000,Minnesota Wild,"Alex Goligoski

GP: 46.0

TOI per game: 17.666666666666664

G: 2.0

A: 4.0

Primary PTS: 4.0

iXG: 2.34534012

iFW: 75.0

XG%: 0.4838405355767098"
BUF,Jacob Bryson,scratch,D,78.0,L,59.0,14.604237288135591,5.0,1.0,4.0,4.0,0.92218795,40.0,0.4692600917676405,7.92218795,62.11190493,-106.37301683,25,NHL,2,RFA,1850000,Buffalo Sabres,"Jacob Bryson

GP: 59.0

TOI per game: 14.604237288135591

G: 1.0

A: 8.0

Primary PTS: 5.0

iXG: 0.92218795

iFW: 40.0

XG%: 0.4692600917676405"
CAR,Ondrej Kase,injured reserve,F,73.0,R,1.0,11.033333333333331,0.0,0.0,0.0,0.0,0.06036976,2.0,0.7893120672697367,0.06036976,1.12039166,-0.24339096,27,LTIR,1,UFA,1500000,Carolina Hurricanes,"Ondrej Kase

GP: 1.0

TOI per game: 11.033333333333331

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.06036976

iFW: 2.0

XG%: 0.7893120672697367"
VGK,William Carrier,scratch,F,28.0,L,56.0,12.388392857142858,24.0,16.0,8.0,1.0,15.39101686,144.0,0.5673886586983132,39.89101686,72.54108719999999,-48.48933203,28,NHL,2,UFA,1400000,Vegas Golden Knights,"William Carrier

GP: 56.0

TOI per game: 12.388392857142858

G: 16.0

A: 9.0

Primary PTS: 24.0

iXG: 15.39101686

iFW: 144.0

XG%: 0.5673886586983132"
TOR,Timothy Liljegren,scratch,D,37.0,R,67.0,17.91144278606965,12.0,6.0,6.0,6.0,4.26227306,110.0,0.5630367202616875,19.26227306,123.61095797,-103.92433512,23,NHL,2,RFA,1400000,Toronto Maple Leafs,"Timothy Liljegren

GP: 67.0

TOI per game: 17.91144278606965

G: 6.0

A: 12.0

Primary PTS: 12.0

iXG: 4.26227306

iFW: 110.0

XG%: 0.5630367202616875"
COL,Darren Helm,scratch,F,43.0,L,11.0,8.627272727272727,0.0,0.0,0.0,0.0,1.01086245,13.0,0.4534145444875301,1.01086245,7.01935741,-12.54756091,36,NHL,1,UFA,1250000,Colorado Avalanche,"Darren Helm

GP: 11.0

TOI per game: 8.627272727272727

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 1.01086245

iFW: 13.0

XG%: 0.4534145444875301"
PHI,Kieffer Bellows,scratch,F,20.0,L,28.0,9.69047619047619,3.0,3.0,0.0,0.0,1.9973926,41.0,0.4102822763901278,4.9973926,14.49800339,-26.36466751,24,NHL,1,RFA,1200000,Philadelphia Flyers,"Kieffer Bellows

GP: 28.0

TOI per game: 9.69047619047619

G: 3.0

A: 0.0

Primary PTS: 3.0

iXG: 1.9973926

iFW: 41.0

XG%: 0.4102822763901278"
VGK,Nolan Patrick,injured reserve,F,41.0,R,,,,,,,,,,,,,24,LTIR,1,RFA,1200000,Vegas Golden Knights,"Nolan Patrick

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
BOS,Jakub Zboril,scratch,D,67.0,L,22.0,13.15227272727273,2.0,1.0,1.0,2.0,0.76901116,21.0,0.4904603715528161,3.76901116,23.83342066,-30.95334193,26,NHL,2,UFA,1137500,Boston Bruins,"Jakub Zboril

GP: 22.0

TOI per game: 13.15227272727273

G: 1.0

A: 3.0

Primary PTS: 2.0

iXG: 0.76901116

iFW: 21.0

XG%: 0.4904603715528161"
CHI,Austin Wagner,scratch,F,26.0,L,7.0,12.138095238095238,2.0,1.0,1.0,0.0,0.7890365,18.0,0.3791150367609722,2.7890365,5.56827195,-9.20611498,25,NHL,1,RFA,1133333,Chicago Blackhawks,"Austin Wagner

GP: 7.0

TOI per game: 12.138095238095238

G: 1.0

A: 1.0

Primary PTS: 2.0

iXG: 0.7890365

iFW: 18.0

XG%: 0.3791150367609722"
