season,team,round,picks,rd_value,draft_capital_rank
2025,COL,Round 2,0.0,0.435,23.0
2025,CHI,Round 2,2.0,0.435,2.0
2025,CBJ,Round 2,1.0,0.435,16.0
2025,STL,Round 2,1.0,0.435,9.0
2025,BOS,Round 2,0.0,0.435,31.0
2025,MTL,Round 2,2.0,0.435,3.0
2025,VAN,Round 2,1.0,0.435,29.0
2025,WSH,Round 2,3.0,0.435,8.0
2025,ARI,Round 2,4.0,0.435,1.0
2025,NJD,Round 2,1.0,0.435,19.0
2025,ANA,Round 2,0.0,0.435,10.0
2025,CGY,Round 2,1.0,0.435,6.0
2025,PHI,Round 2,2.0,0.435,5.0
2025,VGK,Round 2,1.0,0.435,17.0
2025,CAR,Round 2,1.0,0.435,14.0
2025,NYI,Round 2,1.0,0.435,20.0
2025,WPG,Round 2,1.0,0.435,24.0
2025,LAK,Round 2,1.0,0.435,21.0
2025,SEA,Round 2,1.0,0.435,12.0
2025,TBL,Round 2,1.0,0.435,32.0
2025,TOR,Round 2,0.0,0.435,30.0
2025,EDM,Round 2,0.0,0.435,22.0
2025,FLA,Round 2,1.0,0.435,28.0
2025,PIT,Round 2,0.0,0.435,26.0
2025,NSH,Round 2,1.0,0.435,4.0
2025,NYR,Round 2,0.0,0.435,25.0
2025,DET,Round 2,1.0,0.435,15.0
2025,BUF,Round 2,1.0,0.435,13.0
2025,OTT,Round 2,1.0,0.435,11.0
2025,SJS,Round 2,1.0,0.435,7.0
2025,DAL,Round 2,0.0,0.435,27.0
2025,MIN,Round 2,1.0,0.435,18.0
2025,COL,Round 3,1.0,0.287,23.0
2025,CHI,Round 3,1.0,0.287,2.0
2025,CBJ,Round 3,1.0,0.287,16.0
2025,STL,Round 3,1.0,0.287,9.0
2025,BOS,Round 3,1.0,0.287,31.0
2025,MTL,Round 3,2.0,0.287,3.0
2025,VAN,Round 3,0.0,0.287,29.0
2025,WSH,Round 3,1.0,0.287,8.0
2025,ARI,Round 3,2.0,0.287,1.0
2025,NJD,Round 3,1.0,0.287,19.0
2025,ANA,Round 3,1.0,0.287,10.0
2025,CGY,Round 3,1.0,0.287,6.0
2025,PHI,Round 3,1.0,0.287,5.0
2025,VGK,Round 3,1.0,0.287,17.0
2025,CAR,Round 3,1.0,0.287,14.0
2025,NYI,Round 3,1.0,0.287,20.0
2025,WPG,Round 3,1.0,0.287,24.0
2025,LAK,Round 3,1.0,0.287,21.0
2025,SEA,Round 3,1.0,0.287,12.0
