team,position,num,cf_name,player_id,player,line
FLA,LD,42,Gustav Forsling,8478055.0,Gustav Forsling,1st pair
FLA,C,,Tomas Nosek,8477931.0,Tomas Nosek,4th line
FLA,LW,12,Jonah Gadjovich,8479981.0,Jonah Gadjovich,4th line
FLA,RW,25,Mackie Samoskevich,8482713.0,Mackie Samoskevich,3rd line
FLA,G,30,Spencer Knight,8481519.0,Spencer Knight,Goalie
FLA,C,15,Anton Lundell,8482113.0,Anton Lundell,3rd line
FLA,RW,19,Matthew Tkachuk,8479314.0,Matthew Tkachuk,2nd line
FLA,C,9,Sam Bennett,8477935.0,Sam Bennett,2nd line
FLA,LW,17,Evan Rodrigues,8478542.0,Evan Rodrigues,2nd line
FLA,RW,13,Sam Reinhart,8477933.0,Sam Reinhart,1st line
FLA,C,16,Aleksander Barkov,8477493.0,Aleksander Barkov,1st line
FLA,F,,Jesper Boqvist,8480003.0,Jesper Boqvist,Scratch
FLA,D,,Jaycob Megna,8477034.0,Jaycob Megna,Scratch
FLA,LW,27,Eetu Luostarinen,8480185.0,Eetu Luostarinen,3rd line
FLA,F,,Mackenzie Entwistle,8480025.0,MacKenzie Entwistle,Scratch
LAK,C,55,Quinton Byfield,8482124.0,Quinton Byfield,2nd line
LAK,RW,,Warren Foegele,8477998.0,Warren Foegele,2nd line
LAK,LW,12,Trevor Moore,8479675.0,Trevor Moore,3rd line
LAK,C,24,Phillip Danault,8476479.0,Phillip Danault,3rd line
LAK,G,,Darcy Kuemper,8475311.0,Darcy Kuemper,Goalie
LAK,RW,,Tanner Jeannot,8479661.0,Tanner Jeannot,3rd line
LAK,RW,9,Adrian Kempe,8477960.0,Adrian Kempe,1st line
LAK,C,11,Anze Kopitar,8471685.0,Anze Kopitar,1st line
LAK,LW,78,Alex Laferriere,8482155.0,Alex Laferriere,1st line
LAK,LW,22,Kevin Fiala,8477942.0,Kevin Fiala,2nd line
LAK,RD,92,Brandt Clarke,8482730.0,Brandt Clarke,3rd pair
LAK,LW,38,Alex Turcotte,8481532.0,Alex Turcotte,4th line
LAK,RW,61,Trevor Lewis,8473453.0,Trevor Lewis,4th line
LAK,C,41,Akil Thomas,8480851.0,Akil Thomas,4th line
LAK,G,31,David Rittich,8479496.0,David Rittich,Goalie
LAK,D,,Kyle Burroughs,8477335.0,Kyle Burroughs,Scratch
LAK,D,5.0,Andreas Englund,8477971.0,Andreas Englund,Scratch
LAK,F,34.0,Arthur Kaliyev,8481560.0,Arthur Kaliyev,Scratch
LAK,RD,21,Jordan Spence,8481606.0,Jordan Spence,2nd pair
LAK,LD,84,Vladislav Gavrikov,8478882.0,Vladislav Gavrikov,2nd pair
LAK,RD,8,Drew Doughty,8474563.0,Drew Doughty,1st pair
LAK,LD,44,Michael Anderson,8479998.0,Mikey Anderson,1st pair
LAK,LD,,Joel Edmundson,8476441.0,Joel Edmundson,3rd pair
MIN,LW,97,Kirill Kaprizov,8478864.0,Kirill Kaprizov,1st line
MIN,LW,90,Marcus Johansson,8475149.0,Marcus Johansson,2nd line
MIN,C,89,Frederick Gaudreau,8477919.0,Frederick Gaudreau,4th line
MIN,C,23,Marco Rossi,8482079.0,Marco Rossi,2nd line
MIN,RW,36,Mats Zuccarello,8475692.0,Mats Zuccarello,2nd line
MIN,LW,17,Marcus Foligno,8475220.0,Marcus Foligno,3rd line
MIN,C,22,Marat Khusnutdinov,8482177.0,Marat Khusnutdinov,3rd line
MIN,RW,38,Ryan Hartman,8477451.0,Ryan Hartman,3rd line
MIN,LW,,Yakov Trenin,8478508.0,Yakov Trenin,4th line
MIN,RW,,Jakub Lauko,8480880.0,Jakub Lauko,4th line
MIN,LD,47,Declan Chisholm,8480990.0,Declan Chisholm,3rd pair
MIN,RD,7,Brock Faber,8482122.0,Brock Faber,1st pair
MIN,LD,25,Jonas Brodin,8476463.0,Jonas Brodin,2nd pair
MIN,RD,46,Jared Spurgeon,8474716.0,Jared Spurgeon,2nd pair
MIN,RD,24,Zach Bogosian,8474567.0,Zach Bogosian,3rd pair
MIN,G,32,Filip Gustavsson,8479406.0,Filip Gustavsson,Goalie
MIN,G,29,Marc-Andre Fleury,8470594.0,Marc-Andre Fleury,Goalie
MIN,F,,Reese Johnson,8481147.0,Reese Johnson,Scratch
MIN,F,,Travis Boyd,8476329.0,Travis Boyd,Scratch
MIN,RW,12,Matthew Boldy,8481557.0,Matt Boldy,1st line
MIN,LD,5,Jake Middleton,8478136.0,Jake Middleton,1st pair
MIN,C,14,Joel Eriksson Ek,8478493.0,Joel Eriksson Ek,1st line
MIN,D,4.0,Jon Merrill,8475750.0,Jon Merrill,Scratch
MTL,RD,58,David Savard,8475233.0,David Savard,2nd pair
MTL,F,89.0,Joshua Roy,8482749.0,Joshua Roy,Scratch
MTL,G,30,Cayden Primeau,8480051.0,Cayden Primeau,Goalie
MTL,G,35,Samuel Montembeault,8478470.0,Sam Montembeault,Goalie
MTL,RD,54,Jordan Harris,8480887.0,Jordan Harris,3rd pair
MTL,LD,72,Arber Xhekaj,8482964.0,Arber Xhekaj,3rd pair
MTL,LD,21,Kaiden Guhle,8482087.0,Kaiden Guhle,2nd pair
MTL,C,14,Nick Suzuki,8480018.0,Nick Suzuki,1st line
MTL,RW,20,Juraj Slafkovsky,8483515.0,Juraj Slafkovsky,1st line
MTL,LW,11,Brendan Gallagher,8475848.0,Brendan Gallagher,2nd line
MTL,C,15,Alex Newhook,8481618.0,Alex Newhook,2nd line
MTL,RW,77,Kirby Dach,8481523.0,Kirby Dach,2nd line
MTL,LW,22,Cole Caufield,8481540.0,Cole Caufield,1st line
MTL,C,71,Jake Evans,8478133.0,Jake Evans,3rd line
MTL,RW,17,Josh Anderson,8476981.0,Josh Anderson,3rd line
