player_id,player,position,shoots_catches,height,weight,birth_date,birth_country,draft_year,draft_team,round,pick,overall,primary_number,headshot,mp_name,cw_name,dupe_names
8476225,Mike Connolly,L,L,"5'9""",180,1989-07-03,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,18,https://assets.nhle.com/mugs/nhl/latest/8476225.png,Mike Connolly,,
8476227,Joe Whitney,R,L,"5'6""",167,1988-02-06,USA,undrafted,undrafted,undrafted,undrafted,undrafted,10,https://assets.nhle.com/mugs/nhl/latest/8476227.png,Joe Whitney,Joe Whitney,
8476234,Keith Kinkaid,G,L,"6'2""",195,1989-07-04,USA,undrafted,undrafted,undrafted,undrafted,undrafted,1,https://assets.nhle.com/mugs/nhl/20232024/NJD/8476234.png,Keith Kinkaid,Keith Kinkaid,
8476235,Justin Fontaine,R,R,"5'10""",174,1987-11-06,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,14,https://assets.nhle.com/mugs/nhl/latest/8476235.png,Justin Fontaine,Justin Fontaine,
8476243,Iiro Tarkki,G,L,"6'2""",190,1985-07-01,FIN,undrafted,undrafted,undrafted,undrafted,undrafted,31,https://assets.nhle.com/mugs/nhl/latest/8476243.png,Iiro Tarkki,,
8476244,Raphael Diaz,D,R,"5'11""",197,1986-01-09,SUI,undrafted,undrafted,undrafted,undrafted,undrafted,33,https://assets.nhle.com/mugs/nhl/latest/8476244.png,Raphael Diaz,Raphael Diaz,
8476278,Colin Blackwell,C,R,"5'9""",190,1993-03-28,USA,2011,SJS,7,13,194,43,https://assets.nhle.com/mugs/nhl/20232024/CHI/8476278.png,Colin Blackwell,Colin Blackwell,
8476279,Jyrki Jokipakka,D,L,"6'3""",215,1991-08-20,FIN,2011,DAL,7,14,195,23,https://assets.nhle.com/mugs/nhl/latest/8476279.png,Jyrki Jokipakka,Jyrki Jokipakka,
8476283,Alex Broadhurst,C,L,"6'0""",178,1993-03-07,USA,2011,CHI,7,18,199,25,https://assets.nhle.com/mugs/nhl/latest/8476283.png,Alex Broadhurst,Alex Broadhurst,
8476285,Matthew Peca,C,L,"5'10""",181,1993-04-27,CAN,2011,TBL,7,20,201,53,https://assets.nhle.com/mugs/nhl/20232024/STL/8476285.png,Matthew Peca,Matthew Peca,
8476288,Ryan Dzingel,C,L,"6'0""",190,1992-03-09,USA,2011,OTT,7,23,204,19,https://assets.nhle.com/mugs/nhl/latest/8476288.png,Ryan Dzingel,Ryan Dzingel,
8476289,Alexey Marchenko,D,R,"6'3""",210,1992-01-02,RUS,2011,DET,7,24,205,3,https://assets.nhle.com/mugs/nhl/latest/8476289.png,Alexey Marchenko,Alexey Marchenko,
8476292,Ondrej Palat,L,L,"6'0""",194,1991-03-28,CZE,2011,TBL,7,27,208,18,https://assets.nhle.com/mugs/nhl/20232024/NJD/8476292.png,Ondrej Palat,Ondrej Palat,
8476293,Scott Wilson,C,L,"5'11""",177,1992-04-24,CAN,2011,PIT,7,28,209,26,https://assets.nhle.com/mugs/nhl/latest/8476293.png,Scott Wilson,Scott Wilson,
8476300,Nikita Nesterov,D,L,"5'11""",191,1993-03-28,RUS,2011,TBL,5,27,148,89,https://assets.nhle.com/mugs/nhl/latest/8476300.png,Nikita Nesterov,Nikita Nesterov,
